year, firstName, lastName
2017,LOIS,MALENCZAK
2017,BARRY,FITZPATRICK
2017,DEANNA,ESPOSITO
2017,DAVE,GARDI
2017,MICHAEL,HART
2017,BETTY,MARTIN
2017,JILLIAN,MASTROIANNI
2017,JOHN,MCGORTY
2017,SALLY,STOLL-DEPOMPEO
2017,JASMINE,STOLL-DEPOMPEO
2013,JOE,BUDERMAN
2013,TONY,GAMBOLI
2013,TJ,BROCKING
2013,TIFFANY,COOLEY-ROWAN
2013,BRIAN,DALPIAZ
2013,JOHN,DELUCA
2013,TOM,DOLAN
2013,BRAD,HOWLAND
2013,MELISSA,PASCARELLA
2013,LAUREN,SURBER
2010,ANTHONY,"HENRY YONDA, SR."
2010,MAUREEN,CAVANAGH KOLLUS
2010,DAWN,OTTO JUPIN
2010,THE,KOLAR FAMILY
2010,JOSEPH,BOSTINTO
2010,MICHAEL,CASABURI
2010,TOMMY,HAKE
2010,LANCE,HUGELMEYER
2010,HAROLD,JENKINS
2010,JAMES,JORDAN
2010,BERNIE,KOLAR
2010,SUSAN,KUBELLE
2010,WAYNE,LOCURTO
2010,DERRICK,PRENDERGAST
2010,CHARLES,STUCKLEN
2010,MICHAELA,CAVANAGH BURNS
2007,JENNIFER,JENKINS POWERS
2007,GIL,"D'ANDREA, JR."
2007,THE,HAZEN FAMILY
2007,GEORGE,BENEDICT
2007,KATHRYN,GRAHAM
2007,RICHARD,CESTARO
2007,JAMES,CISEK
2007,PHIL,DEPOMPEO
2007,DAVID,HAIT
2007,JAMES,HAZEN
2007,JAMES,HEYMAN
2007,LARRY,KANE
2007,HAROLD,LESLIE
2007,JASON,MASTROPIERRO
2007,MICHAEL,MUSSLER
2007,JON,NELSON
2007,JAMES,PAMLANYE
2006,LEE,VAN VOORHEES
2006,JOHN,BUD VAN WYEN
2006,DR.,EDNA SUCKOW
2006,JOHN,"DELUCA, SR."
2006,CARL,"VARONE, SR."
2006,DONALD,BUCK MACKENZIE
2006,EVELYN,STOLL MACKENZIE
2006,SUZANNE,GAMBOLI HOSS
2006,MARINUS,BUYS
2006,SUSAN,DALEY GIBSON
2006,HARVEY,CASE
2006,HURON,SMITH
2006,KRISTEN,COCCARO
2006,JIM,DIETZ
2006,KEN,DONOVAN
2006,JESSE,FITZGERALD
2006,RALPH,HOWE
2006,WOODHULL,HUBBARD
2006,CAREN,KROPP
2006,OTTO,KUBELLE
2006,JAMIE,LABELLE
2006,EILEEN,MACLELLAN
2006,BRIAN,MCGINTY
2006,CHAD,SMITH
2006,ROSEMARY,SMITH
2006,DEREK,SMITH
2006,WILLIAM,THIEBEN
2006,LYNN,WEIK-CAMPILII
2006,PETER,YOZZO
2025,ANNE,WOLSTENCROFT
2025,BOB,PEISER
2025,CRAIG,ORSKI
2025,DAVID,JACKSON
2025,GLENN,DRAGO
2025,JENNIFER,WITTMAN-CAHILL
2025,JOSEPH,GUGLIOTTA
2025,KRISTY,LONGMAN
2025,LOUIS,VESPOORT
2025,MATTHER,MESSINA
2025,MIKE,BUCK
